job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details
Sr . Data Analyst ( Power BI developer ),Highrise solutions,0-4 Yrs,0,4,3.6-13.3L/yr,360000.0,1330000.0,Pune,330,Naukri,3.9,30,"SQL, MySQL, RDBMS"
Senior Data Analyst cum MIS Executive,Oasis Insurance Brokers,2-6 Yrs,2,6,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,365,Naukri,3.9,30,"Market research, Data analysis, Logistics"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,1.0-26.5L/yr,100000.0,2650000.0,Hyderabad / Secunderabad,365,Naukri,3.9,30,"Data Analyst, professional"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,1.0-17.5L/yr,100000.0,1750000.0,Chennai,365,Naukri,3.9,30,"SQL, MySQL, Python"
Data Analyst,Diverse Lynx,3-6 Yrs,3,6,2.6-16.0L/yr,260000.0,1600000.0,Gurgaon / Gurugram,365,Naukri,3.9,30,"Data Analyst, professional"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,0.8-17.0L/yr,80000.0,1700000.0,Chennai,365,Naukri,3.9,30,"Data Analyst, professional"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,1.6-39.5L/yr,165000.0,3950000.0,Bangalore / Bengaluru,365,Naukri,3.9,30,"SAS, Data analysis, Data mining"
Data Analyst,Diverse Lynx,1-5 Yrs,1,5,1.2-21.0L/yr,115000.0,2100000.0,Gurgaon / Gurugram,365,Naukri,3.9,30,"Data Analyst, professional"
"Data Analyst, Python and SQL",Fusion Plus Solutions Inc,2-5 Yrs,2,5,1.4-26.5L/yr,140000.0,2650000.0,Hyderabad / Secunderabad,365,Naukri,3.9,30,"SQL, Python, Quantitative analysis"
Data Analyst,Fusion Plus Solutions Inc,2-4 Yrs,2,4,1.4-35.0L/yr,140000.0,3500000.0,Hyderabad / Secunderabad,365,Naukri,3.9,30,"Unix, CRM, Data structures"
Data Analyst,Saaki argus averil consulting,3-6 Yrs,3,6,1.1-18.7L/yr,110000.0,1870000.0,Chennai,365,Naukri,3.9,30,"SAS, Consulting, Financial services"
Data Analyst,P.S International HR Consultants,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,365,Naukri,3.9,30,"SQL, Networking, Automation"
